id,input,type,meaning_en,native_script,alt_translation,variants/0,variants/1,variants/2,tokens/0,tokens/1,tokens/2,tokens/3,confidence,category,freq_rank,variants/3
19577,tu kidhar hai 3916,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.85,chat_phrase,19577,
19578,main aa raha hu 3916,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.98,chat_phrase,19578,mainaarahahu
19579,kya kar raha hai 3916,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.91,chat_phrase,19579,
19580,jaldi aaja 3916,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.91,chat_phrase,19580,jaldiaaja
19581,kal scene kya hai 3917,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.98,chat_phrase,19581,
19582,tu kidhar hai 3917,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.99,chat_phrase,19582,
19583,main aa raha hu 3917,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.9,chat_phrase,19583,mainaarahahu
19584,kya kar raha hai 3917,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.9,chat_phrase,19584,
19585,jaldi aaja 3917,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.88,chat_phrase,19585,jaldiaaja
19586,kal scene kya hai 3918,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.94,chat_phrase,19586,
19587,tu kidhar hai 3918,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.93,chat_phrase,19587,
19588,main aa raha hu 3918,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.95,chat_phrase,19588,mainaarahahu
19589,kya kar raha hai 3918,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.91,chat_phrase,19589,
19590,jaldi aaja 3918,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.84,chat_phrase,19590,jaldiaaja
19591,kal scene kya hai 3919,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.9,chat_phrase,19591,
19592,tu kidhar hai 3919,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.94,chat_phrase,19592,
19593,main aa raha hu 3919,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.98,chat_phrase,19593,mainaarahahu
19594,kya kar raha hai 3919,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.95,chat_phrase,19594,
19595,jaldi aaja 3919,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.96,chat_phrase,19595,jaldiaaja
19596,kal scene kya hai 3920,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.9,chat_phrase,19596,
19597,tu kidhar hai 3920,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.96,chat_phrase,19597,
19598,main aa raha hu 3920,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.93,chat_phrase,19598,mainaarahahu
19599,kya kar raha hai 3920,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.89,chat_phrase,19599,
19600,jaldi aaja 3920,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.88,chat_phrase,19600,jaldiaaja
19601,kal scene kya hai 3921,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.91,chat_phrase,19601,
19602,tu kidhar hai 3921,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.88,chat_phrase,19602,
19603,main aa raha hu 3921,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.93,chat_phrase,19603,mainaarahahu
19604,kya kar raha hai 3921,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.89,chat_phrase,19604,
19605,jaldi aaja 3921,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.91,chat_phrase,19605,jaldiaaja
19606,kal scene kya hai 3922,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.98,chat_phrase,19606,
19607,tu kidhar hai 3922,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.98,chat_phrase,19607,
19608,main aa raha hu 3922,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.89,chat_phrase,19608,mainaarahahu
19609,kya kar raha hai 3922,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.97,chat_phrase,19609,
19610,jaldi aaja 3922,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.89,chat_phrase,19610,jaldiaaja
19611,kal scene kya hai 3923,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.9,chat_phrase,19611,
19612,tu kidhar hai 3923,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.94,chat_phrase,19612,
19613,main aa raha hu 3923,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.91,chat_phrase,19613,mainaarahahu
19614,kya kar raha hai 3923,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.95,chat_phrase,19614,
19615,jaldi aaja 3923,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.9,chat_phrase,19615,jaldiaaja
19616,kal scene kya hai 3924,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.99,chat_phrase,19616,
19617,tu kidhar hai 3924,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.87,chat_phrase,19617,
19618,main aa raha hu 3924,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.9,chat_phrase,19618,mainaarahahu
19619,kya kar raha hai 3924,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.92,chat_phrase,19619,
19620,jaldi aaja 3924,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.96,chat_phrase,19620,jaldiaaja
19621,kal scene kya hai 3925,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.87,chat_phrase,19621,
19622,tu kidhar hai 3925,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.92,chat_phrase,19622,
19623,main aa raha hu 3925,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.9,chat_phrase,19623,mainaarahahu
19624,kya kar raha hai 3925,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.97,chat_phrase,19624,
19625,jaldi aaja 3925,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.89,chat_phrase,19625,jaldiaaja
19626,kal scene kya hai 3926,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.86,chat_phrase,19626,
19627,tu kidhar hai 3926,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.87,chat_phrase,19627,
19628,main aa raha hu 3926,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.95,chat_phrase,19628,mainaarahahu
19629,kya kar raha hai 3926,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.83,chat_phrase,19629,
19630,jaldi aaja 3926,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.83,chat_phrase,19630,jaldiaaja
19631,kal scene kya hai 3927,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.84,chat_phrase,19631,
19632,tu kidhar hai 3927,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.99,chat_phrase,19632,
19633,main aa raha hu 3927,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.93,chat_phrase,19633,mainaarahahu
19634,kya kar raha hai 3927,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.93,chat_phrase,19634,
19635,jaldi aaja 3927,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.9,chat_phrase,19635,jaldiaaja
19636,kal scene kya hai 3928,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.98,chat_phrase,19636,
19637,tu kidhar hai 3928,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.94,chat_phrase,19637,
19638,main aa raha hu 3928,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.86,chat_phrase,19638,mainaarahahu
19639,kya kar raha hai 3928,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.96,chat_phrase,19639,
19640,jaldi aaja 3928,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.89,chat_phrase,19640,jaldiaaja
19641,kal scene kya hai 3929,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.9,chat_phrase,19641,
19642,tu kidhar hai 3929,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.89,chat_phrase,19642,
19643,main aa raha hu 3929,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.96,chat_phrase,19643,mainaarahahu
19644,kya kar raha hai 3929,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.96,chat_phrase,19644,
19645,jaldi aaja 3929,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.87,chat_phrase,19645,jaldiaaja
19646,kal scene kya hai 3930,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.98,chat_phrase,19646,
19647,tu kidhar hai 3930,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.93,chat_phrase,19647,
19648,main aa raha hu 3930,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.91,chat_phrase,19648,mainaarahahu
19649,kya kar raha hai 3930,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.89,chat_phrase,19649,
19650,jaldi aaja 3930,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.9,chat_phrase,19650,jaldiaaja
19651,kal scene kya hai 3931,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.82,chat_phrase,19651,
19652,tu kidhar hai 3931,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.88,chat_phrase,19652,
19653,main aa raha hu 3931,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.84,chat_phrase,19653,mainaarahahu
19654,kya kar raha hai 3931,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.97,chat_phrase,19654,
19655,jaldi aaja 3931,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.9,chat_phrase,19655,jaldiaaja
19656,kal scene kya hai 3932,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.94,chat_phrase,19656,
19657,tu kidhar hai 3932,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.94,chat_phrase,19657,
19658,main aa raha hu 3932,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.88,chat_phrase,19658,mainaarahahu
19659,kya kar raha hai 3932,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.91,chat_phrase,19659,
19660,jaldi aaja 3932,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.82,chat_phrase,19660,jaldiaaja
19661,kal scene kya hai 3933,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.93,chat_phrase,19661,
19662,tu kidhar hai 3933,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.9,chat_phrase,19662,
19663,main aa raha hu 3933,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.88,chat_phrase,19663,mainaarahahu
19664,kya kar raha hai 3933,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.9,chat_phrase,19664,
19665,jaldi aaja 3933,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.91,chat_phrase,19665,jaldiaaja
19666,kal scene kya hai 3934,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.87,chat_phrase,19666,
19667,tu kidhar hai 3934,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.95,chat_phrase,19667,
19668,main aa raha hu 3934,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.97,chat_phrase,19668,mainaarahahu
19669,kya kar raha hai 3934,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.83,chat_phrase,19669,
19670,jaldi aaja 3934,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.89,chat_phrase,19670,jaldiaaja
19671,kal scene kya hai 3935,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.85,chat_phrase,19671,
19672,tu kidhar hai 3935,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.82,chat_phrase,19672,
19673,main aa raha hu 3935,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.9,chat_phrase,19673,mainaarahahu
19674,kya kar raha hai 3935,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.83,chat_phrase,19674,
19675,jaldi aaja 3935,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.93,chat_phrase,19675,jaldiaaja
19676,kal scene kya hai 3936,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.93,chat_phrase,19676,
19677,tu kidhar hai 3936,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.89,chat_phrase,19677,
19678,main aa raha hu 3936,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.88,chat_phrase,19678,mainaarahahu
19679,kya kar raha hai 3936,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.89,chat_phrase,19679,
19680,jaldi aaja 3936,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.84,chat_phrase,19680,jaldiaaja
19681,kal scene kya hai 3937,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.97,chat_phrase,19681,
19682,tu kidhar hai 3937,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.88,chat_phrase,19682,
19683,main aa raha hu 3937,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.91,chat_phrase,19683,mainaarahahu
19684,kya kar raha hai 3937,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.92,chat_phrase,19684,
19685,jaldi aaja 3937,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.95,chat_phrase,19685,jaldiaaja
19686,kal scene kya hai 3938,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.83,chat_phrase,19686,
19687,tu kidhar hai 3938,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.88,chat_phrase,19687,
19688,main aa raha hu 3938,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.89,chat_phrase,19688,mainaarahahu
19689,kya kar raha hai 3938,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.87,chat_phrase,19689,
19690,jaldi aaja 3938,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.9,chat_phrase,19690,jaldiaaja
19691,kal scene kya hai 3939,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.92,chat_phrase,19691,
19692,tu kidhar hai 3939,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.91,chat_phrase,19692,
19693,main aa raha hu 3939,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.93,chat_phrase,19693,mainaarahahu
19694,kya kar raha hai 3939,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.85,chat_phrase,19694,
19695,jaldi aaja 3939,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.88,chat_phrase,19695,jaldiaaja
19696,kal scene kya hai 3940,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.9,chat_phrase,19696,
19697,tu kidhar hai 3940,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.9,chat_phrase,19697,
19698,main aa raha hu 3940,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.94,chat_phrase,19698,mainaarahahu
19699,kya kar raha hai 3940,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.92,chat_phrase,19699,
19700,jaldi aaja 3940,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.86,chat_phrase,19700,jaldiaaja
19701,kal scene kya hai 3941,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.91,chat_phrase,19701,
19702,tu kidhar hai 3941,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.85,chat_phrase,19702,
19703,main aa raha hu 3941,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.86,chat_phrase,19703,mainaarahahu
19704,kya kar raha hai 3941,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.88,chat_phrase,19704,
19705,jaldi aaja 3941,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.82,chat_phrase,19705,jaldiaaja
19706,kal scene kya hai 3942,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.82,chat_phrase,19706,
19707,tu kidhar hai 3942,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.99,chat_phrase,19707,
19708,main aa raha hu 3942,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.84,chat_phrase,19708,mainaarahahu
19709,kya kar raha hai 3942,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.89,chat_phrase,19709,
19710,jaldi aaja 3942,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.88,chat_phrase,19710,jaldiaaja
19711,kal scene kya hai 3943,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.83,chat_phrase,19711,
19712,tu kidhar hai 3943,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.98,chat_phrase,19712,
19713,main aa raha hu 3943,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.88,chat_phrase,19713,mainaarahahu
